LotFrontage,LotArea,MasVnrArea,HeatingQC,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Functional,GarageCars,SalePrice,MSZoning_Residential,LotShape_Reg,LandContour_NotLvl,LotConfig_CulDSac,LotConfig_Inside,LotConfig_Other,LandSlope_Mod,LandSlope_Sev,Condition1_Norm,Condition1_Pos,Condition1_RR,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,OverallQualCond,Age,Rem_Age,RoofStyle_Hip,RoofStyle_Other,RoofMatl_NotShingle,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Other,Exterior1st_VinylSd,Exterior1st_Wood,Exterior2nd_BrkFace,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_VinylSd,Exterior2nd_Wd Shng,Exterior2nd_Wood,MasVnrType_NA,MasVnrType_None,MasVnrType_Stone,ExterQualCond,Foundation_CBlock,Foundation_Other,Foundation_PConc,Bsmt_Score,Heating_NotGasA,CentralAir_Bin,Electrical_SBrkr,TotalSF,KitchenScore,Fireplace_Score,GarageType_Detchd,GarageType_NA,GarageType_Other,Gar_Age,GarageFinish_NA,GarageFinish_RFn,GarageFinish_Unf,GarageScore,PavedDrive_Y,Porch_Deck_SF,PoolScore,Shed,MoSold_2,MoSold_3,MoSold_4,MoSold_5,MoSold_6,MoSold_7,MoSold_8,MoSold_9,MoSold_10,MoSold_11,MoSold_12,YrSold_2007,YrSold_2008,YrSold_2009,YrSold_2010,SaleType_Con,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_Normal,SaleCondition_Other,SaleCondition_Partial,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker
9.041921720351219,8450,196.0,5,0,1710,3,1,3,8,4,2,0.29382543925140286,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,35,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,1,8472.0,0,1,1,7.339000752008473,4,0,0,0,0,5.0,0,1,0,588.6177260300326,1,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.169518377455928,9600,0.0,5,0,1262,2,1,3,6,4,2,0.29792869689577733,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,48,31,31,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,1,0,0,11735.999999999998,0,1,1,7.312292222086,3,3,0,0,0,31.0,0,1,0,516.2129827866607,1,298,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.328123407632566,11250,162.0,5,0,1786,3,1,3,6,4,2,0.2917912384250657,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,35,7,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,1,5831.999999999999,0,1,1,7.425985639351112,4,3,0,0,0,7.0,0,1,0,636.3104946582865,1,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.164296433474776,9550,0.0,4,0,1717,2,0,3,7,4,3,0.305764595097024,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,35,91,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,9,0,0,0,2592.0,0,1,1,7.27946187557618,4,4,1,0,0,8.0,0,0,1,662.8107153660472,1,307,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.565213693968287,14260,350.0,5,0,2198,3,1,4,9,4,3,0.2885399811814427,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,40,8,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,1,7859.999999999999,0,1,1,7.787587354259676,4,3,0,0,0,8.0,0,1,0,807.9414291458678,1,276,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9.55499334068759,14115,0.0,5,0,1362,2,1,1,5,4,2,0.305116993425134,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,25,16,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,9,0,1,0,8784.0,0,1,1,7.066112858657135,3,0,0,0,0,16.0,0,0,1,532.952126908461,1,390,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9.218705288307811,10084,186.0,5,0,1694,3,0,3,7,4,2,0.2826741939544877,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,40,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,12,0,0,1,20535.0,0,1,1,7.807099322455371,4,4,0,0,0,3.0,0,1,0,658.1602030135346,1,312,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9.247828816387175,10382,240.0,5,0,2090,3,1,3,7,4,2,0.29505093853369185,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,42,36,36,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9,1,0,0,10692.000000000002,0,1,1,7.709126528499484,3,6,0,0,0,36.0,0,1,0,536.2788506752814,1,667,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8.719317375506371,6120,0.0,4,0,1774,2,0,2,8,3,2,0.3080626769051482,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,77,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9,0,0,0,0.0,0,1,0,7.438165417257956,6,6,1,0,0,77.0,0,0,1,385.84582413186746,1,295,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8.911934336161426,7420,0.0,5,0,1077,2,0,2,5,4,1,0.3110368172575814,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,69,58,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,0,0,0,7658.999999999999,0,1,1,7.001457270819024,6,6,0,0,0,69.0,0,1,0,349.40869670684197,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.323669057283185,11200,0.0,5,0,1040,2,0,3,5,4,1,0.308157699397028,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,25,43,43,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9,1,0,0,8154.0,0,1,1,7.010181845089503,3,0,1,0,0,43.0,0,0,1,450.8421733098181,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9.386308454797962,11924,286.0,5,0,2324,4,0,4,11,4,3,0.2793946530498481,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,45,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,15,0,0,1,14970.000000000002,0,1,1,7.868881897808029,5,8,0,0,0,1.0,0,0,0,734.3268565467307,1,168,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
